"","Naziv_jedinice","Godina","Županija","Status","Stopa_prireza","Iznos_prireza","Broj_stanovnika","Iznos_prireza_po_stanovniku"
"505","BRESTOVAC",2008,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,213447.09,3832,55.7012239039666
"506","BRESTOVAC",2009,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,199356.01,3810,52.3244120734908
"507","BRESTOVAC",2010,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,182665.33,3751,48.6977685950413
"508","BRESTOVAC",2011,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,173963.34,3711,46.8777526273242
"509","BRESTOVAC",2012,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,167265.03,3640,45.9519313186813
"510","BRESTOVAC",2013,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,167754.9693,3609,46.4823965918537
"511","BRESTOVAC",2014,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,189118.7135,3530,53.5747063739377
"512","BRESTOVAC",2015,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,90770.9132,3377,26.8791570032573
"513","BRESTOVAC",2016,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,97185.8262,3286,29.5757231284236
"514","BRESTOVAC",2017,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,80926.611665,3176,25.4806711791562
"515","BRESTOVAC",2018,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,129067.080347,3065,42.1099772747145
"516","BRESTOVAC",2019,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,150654.033052,2970,50.7252636538721
"517","BRESTOVAC",2020,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,149641.43723,2907,51.4762425971792
"518","BRESTOVAC",2021,"XI POŽEŠKO-SLAVONSKA","OPĆINA",0.05,132898.8725,2980,44.5969370805369
"519","BREZNICA",2008,"V VARAŽDINSKA","OPĆINA",0.1,263355.41,2204,119.48975045372
"520","BREZNICA",2009,"V VARAŽDINSKA","OPĆINA",0.1,243361.28,2200,110.618763636364
"521","BREZNICA",2010,"V VARAŽDINSKA","OPĆINA",0.1,219160.14,2209,99.212376641014
"522","BREZNICA",2011,"V VARAŽDINSKA","OPĆINA",0.1,213267.95,2188,97.4716407678245
"523","BREZNICA",2012,"V VARAŽDINSKA","OPĆINA",0.1,220779.69,2186,100.997113449222
"524","BREZNICA",2013,"V VARAŽDINSKA","OPĆINA",0.1,219200.7312,2185,100.320700778032
"525","BREZNICA",2014,"V VARAŽDINSKA","OPĆINA",0.1,231825.9469,2142,108.228733380019
"526","BREZNICA",2015,"V VARAŽDINSKA","OPĆINA",0.1,237898.8823,2124,112.005123493409
"527","BREZNICA",2016,"V VARAŽDINSKA","OPĆINA",0.1,268923.9034,2096,128.303389026718
"528","BREZNICA",2017,"V VARAŽDINSKA","OPĆINA",0.1,283970.948902,2071,137.117792806374
